video_id,youtube_id,transcript_length,openai_no_roberta_opinion_news,openai_no_roberta_nuance,openai_no_roberta_order_creativity,openai_no_roberta_prevention_promotion,openai_no_roberta_compassion_contempt,openai_with_roberta_opinion_news,openai_with_roberta_nuance,openai_with_roberta_order_creativity,openai_with_roberta_prevention_promotion,openai_with_roberta_compassion_contempt,gemini_no_roberta_opinion_news,gemini_no_roberta_nuance,gemini_no_roberta_order_creativity,gemini_no_roberta_prevention_promotion,gemini_no_roberta_compassion_contempt,gemini_with_roberta_opinion_news,gemini_with_roberta_nuance,gemini_with_roberta_order_creativity,gemini_with_roberta_prevention_promotion,gemini_with_roberta_compassion_contempt,roberta_plain_compassion_contempt,roberta_valence_compassion_contempt
Azs7As3MYFU,Azs7As3MYFU,1089,3.0,1.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,5.0,3.0,2.0,2.0,3.0,3.5002,2.9879
C5S8rhNCBnc,C5S8rhNCBnc,6938,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.5001,3.0081
Cz2m3nTgJeg,Cz2m3nTgJeg,605,3.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,3.0,3.4988,2.9935
E0uLbeQlwjw,E0uLbeQlwjw,7665,5.0,4.0,3.0,3.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,2.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,3.5764,3.0644
F1H1SA0F_wY,F1H1SA0F_wY,513,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,3.494,3.0093
F2E-Z_ZnqOc,F2E-Z_ZnqOc,899,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0,4.0,3.0,4.0,3.5023,2.9947
F_Z5Rx-XiE8,F_Z5Rx-XiE8,952,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,4.0,3.4963,2.9621
G4H1N_yXBiA,G4H1N_yXBiA,605,1.0,1.0,1.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,3.5001,2.9752
MrFDYd2oRgs,MrFDYd2oRgs,6920,4.0,4.0,2.0,2.0,4.0,4.0,5.0,2.0,2.0,3.0,5.0,5.0,1.0,1.0,5.0,5.0,4.0,2.0,1.0,4.0,3.4872,2.9063
P2yNE-N-OCI,P2yNE-N-OCI,2445,4.0,3.0,2.0,3.0,3.0,4.0,1.0,2.0,3.0,3.0,5.0,2.0,2.0,2.0,3.0,5.0,2.0,1.0,2.0,3.0,3.5282,3.0316
VqR021m9OTs,VqR021m9OTs,1288,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,3.0,3.4775,3.7453
W3V1oswZM-o,W3V1oswZM-o,2621,1.0,2.0,4.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,5.0,4.0,1.0,3.5068,2.9846
WD0VoR-4sZs,WD0VoR-4sZs,90,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,3.3737,2.8001
WSU9kao1dh8,WSU9kao1dh8,1315,1.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,1.0,4.0,4.0,4.0,5.0,1.0,5.0,5.0,4.0,5.0,3.683,3.5779
X-G2pR0rux8,X-G2pR0rux8,982,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,3.5058,3.0265
Y6Ogw_8zrL8,Y6Ogw_8zrL8,820,3.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,3.0,3.5048,3.0048
ZrfuX453X7A,ZrfuX453X7A,870,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,4.0,2.0,4.0,2.0,5.0,2.0,3.0,4.0,2.0,5.0,3.5019,3.0007
aLgpoNPUApw,aLgpoNPUApw,583,5.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,1.0,2.0,4.0,3.0,4.0,1.0,2.0,2.0,3.0,3.5079,3.0117
adR_qUwFFXM,adR_qUwFFXM,449,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,,,,,,3.5073,2.9999
csyLkutTJ0A,csyLkutTJ0A,604,3.0,3.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,4.0,4.0,5.0,4.0,1.0,4.0,4.0,5.0,3.4973,2.9312
e4in-hK8-BU,e4in-hK8-BU,693,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.5296,3.121
fDILpuiLuAI,fDILpuiLuAI,1880,1.0,1.0,4.0,4.0,3.0,1.0,2.0,4.0,4.0,3.0,2.0,3.0,5.0,4.0,3.0,2.0,4.0,5.0,5.0,3.0,3.4836,2.9726
foD-MwTxqGk,foD-MwTxqGk,2028,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,3.4838,2.9681
h2RiVX-iVus,h2RiVX-iVus,7775,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,3.4854,2.9451
h9gB3wgXKsU,h9gB3wgXKsU,1135,3.0,2.0,3.0,3.0,3.0,5.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,1.0,2.0,4.0,1.0,2.0,1.0,3.0,3.5076,3.0287
jOKqYtRDGak,jOKqYtRDGak,860,4.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,3.0,3.4745,2.9246
kFeOTDAMjG8,kFeOTDAMjG8,686,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.5094,3.0063
mXjlEqlPkAI,mXjlEqlPkAI,7911,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,3.5427,3.1171
mgxDfCTIgJQ,mgxDfCTIgJQ,361,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.4999,2.9948
sikEBPEa8WY,sikEBPEa8WY,1677,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.4745,2.9398
uDCqPyM0ehA,uDCqPyM0ehA,586,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,3.0,3.5209,3.0435
ulJmroCy7g8,ulJmroCy7g8,1693,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.4904,2.9734
y0C5bARtqcA,y0C5bARtqcA,688,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,3.0,3.5846,3.1203
y0pdqgQjaPQ,y0pdqgQjaPQ,2090,1.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.5025,2.9889
y6v1pOAXP70,y6v1pOAXP70,3152,3.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5171,3.0664
ykFNkOrPKKM,ykFNkOrPKKM,576,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,3.0,3.5089,3.0101
